Id,Age,Gender,Departments,Average Score,Habit,Field_of_Interest,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred_Location,Key Factors for Future Job,Major
1,19,2,2,8.23,"8,5,3","2,5,8",2,3,2,1,2,1,3,3,1,3,3,1,1,2,2,"7,1,3",8
2,18,1,4,7.84,"7,3,8","4,5,6",4,1,1,5,2,1,3,3,3,3,2,1,3,3,2,"6,7,4",4
3,16,2,4,9.44,"4,5,7","10,11,12",2,2,4,1,2,1,2,3,3,1,2,1,2,3,2,"2,8,4",21
4,17,2,1,8.98,"7,6,3","10,8,9",1,1,3,4,2,3,2,1,1,3,3,2,3,1,2,"3,8,2",13
5,16,1,2,8.02,"7,4,2","1,12,7",5,5,1,4,3,2,2,1,2,2,3,2,1,2,2,"5,8,4",8
6,17,2,4,7.24,"8,3,6","1,8,9",5,5,2,4,1,2,3,3,3,1,2,2,2,3,2,"1,1,3",5
7,17,2,1,8.4,"1,7,3","10,3,6",5,1,3,2,1,2,1,3,3,1,1,2,2,2,3,"2,5,1",4
8,18,1,1,7.75,"6,5,3","1,5,7",2,4,1,5,3,3,2,1,3,1,1,2,2,1,1,"3,2,8",10
9,16,2,2,8.5,"2,4,3","11,3,4",1,3,3,3,1,1,3,2,1,2,1,2,3,3,1,"1,6,8",8
10,16,1,3,8.57,"6,5,8","7,8,9",5,5,3,2,2,3,3,3,3,2,3,2,3,3,1,"1,8,6",5
11,16,1,5,9.09,"5,8,3","3,5,7",1,4,3,4,3,1,1,1,1,2,2,1,1,1,2,"3,5,1",14
12,19,1,3,8.92,"4,2,3","10,11,5",1,2,1,4,2,2,2,3,2,1,3,3,2,3,2,"2,7,5",5
13,18,1,2,8.58,"1,8,6","3,7,8",4,1,4,2,3,3,3,2,2,3,3,1,3,2,3,"5,1,3",8
14,17,2,4,8.82,"7,6,8","10,12,8",5,2,1,2,2,2,1,3,1,2,2,1,1,3,3,"3,5,4",4
15,17,1,1,8.41,"5,3,1","1,12,2",5,2,3,5,2,1,2,2,1,3,1,1,2,3,1,"8,7,3",13
16,19,2,1,8.18,"4,1,3","10,12,7",1,1,2,2,2,2,2,3,3,1,3,2,1,2,3,"7,3,6",4
17,19,1,5,8.88,"3,7,1","1,11,6",5,5,2,2,3,3,3,1,2,1,3,3,3,3,3,"1,1,3",1
18,17,2,5,9.41,"1,7,8","4,7,9",2,4,1,5,3,2,1,2,2,2,3,2,3,2,3,"2,7,3",1
19,19,1,1,7.36,"7,1,5","1,11,6",4,1,2,2,1,3,3,3,2,3,1,1,1,3,1,"3,6,1",4
20,19,1,1,8.55,"7,1,8","1,12,8",5,1,2,3,2,3,3,3,2,2,1,2,2,1,2,"1,2,8",21
21,18,1,1,8.63,"1,6,5","1,11,3",1,5,4,4,1,1,1,2,1,1,2,1,1,3,2,"8,7,1",4
22,19,2,2,9.13,"4,8,5","5,6,9",1,2,4,2,3,1,3,2,1,1,2,2,3,2,3,"6,5,7",8
23,19,1,1,8.52,"3,6,7","10,2,5",3,5,2,1,1,1,3,3,1,3,2,3,3,1,2,"7,6,8",7
24,18,2,1,8.14,"8,1,5","10,2,5",4,1,3,2,1,2,2,3,3,1,1,1,3,3,1,"2,1,4",10
25,16,2,4,7.68,"3,8,7","12,5,8",1,4,3,4,3,2,3,1,2,2,3,3,3,2,1,"1,5,6",1
26,16,1,3,8.68,"3,5,6","12,4,7",2,4,3,4,2,1,3,2,2,1,3,2,1,3,3,"8,7,1",5
27,18,2,1,8.24,"5,6,4","1,7,8",2,4,3,3,3,2,3,1,2,1,3,2,1,2,3,"7,5,8",4
28,18,2,4,7.54,"7,5,8","12,7,9",2,1,5,1,1,3,1,2,3,1,3,1,2,1,2,"8,4,1",5
29,17,1,1,8.49,"1,3,7","12,2,9",5,3,2,5,1,2,3,1,1,3,3,1,3,1,3,"5,4,3",4
30,17,1,1,7.94,"7,8,3","10,2,4",5,3,1,4,1,3,2,2,2,1,1,3,3,1,3,"1,5,4",6
31,16,1,1,9.41,"1,2,7","12,5,9",4,3,5,2,2,1,2,2,3,1,3,1,2,1,1,"2,7,6",13
32,18,1,3,8.5,"5,4,7","1,10,2",1,4,3,3,1,3,1,2,3,3,3,1,2,1,1,"5,1,2",5
33,19,2,3,9.09,"3,8,4","11,2,8",4,1,4,4,3,3,1,2,3,3,2,2,2,2,1,"7,4,2",5
34,17,2,3,9.33,"4,5,1","11,7,8",5,3,5,2,1,3,1,2,3,3,2,3,2,3,1,"1,2,8",5
35,17,2,1,7.5,"4,2,1","11,5,7",2,4,5,4,2,1,2,3,3,3,1,1,1,3,3,"4,3,7",10
36,16,2,4,9.45,"3,5,2","10,3,6",5,1,1,5,1,1,1,2,1,3,2,3,3,1,2,"4,5,6",7
37,19,2,3,7.24,"4,8,3","1,4,8",5,3,4,5,1,3,3,2,1,3,2,3,1,3,3,"4,7,3",5
38,17,1,2,8.77,"1,6,3","12,2,4",4,2,4,1,1,3,2,1,2,2,2,3,2,1,1,"8,1,2",16
39,18,1,4,9.25,"4,3,5","11,2,3",2,2,2,2,2,3,3,3,2,1,2,1,3,2,3,"3,1,5",4
40,18,2,5,7.98,"6,2,4","12,2,7",5,3,4,1,1,1,1,1,1,3,2,2,3,1,3,"8,6,1",1
41,17,2,1,8.17,"8,7,6","1,3,4",3,4,2,1,3,2,1,2,3,2,2,3,2,2,3,"6,2,1",6
