Unnamed: 0,Id,Age,Gender,Departments,Average Score,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred Location,Key Factors for Future Job,Major,Habit,Field of Interest,Converted Score,Matched Universities
0,1,19,2,2,8.23,2,3,2,1,2,1,3,3,1,3,3,1,1,2,2,"7,1,3",4,8,5,24.69,"Học viện Công nghệ Bưu chính Viễn thông, Học viện phụ nữ Việt Nam"
1,2,18,1,4,7.84,4,1,1,5,2,1,3,3,3,3,2,1,3,3,2,"6,7,4",4,8,5,23.52,"Học viện phụ nữ Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội"
2,3,16,2,4,9.44,2,2,4,1,2,1,2,3,3,1,2,1,2,3,2,"2,8,4",15,5,12,28.32,
3,4,17,2,1,8.98,1,1,3,4,2,3,2,1,1,3,3,2,3,1,2,"3,8,2",18,3,8,26.94,
4,5,16,1,2,8.02,5,5,1,4,3,2,2,1,2,2,3,2,1,2,2,"5,8,4",6,4,5,24.06,"Đại học Quốc gia Hà Nội, Trường Đại học Luật Hà Nội, Trường Đại học Mở Hà Nội, Học viện Báo chí và Tuyên truyền, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Luật Hà Nội – Phân hiệu tại Đắk Lắk"
5,6,17,2,4,7.24,5,5,2,4,1,2,3,3,3,1,2,2,2,3,2,"1,1,3",9,8,1,21.72,"Trường Đại học Mỏ - Địa chất, Học viện Nông nghiệp Việt Nam, Trường Đại học Giao thông Vận tải, Trường Đại học Sư phạm Kỹ thuật Hưng Yên, Trường Đại học Y tế công cộng, Trường Đại học Việt Đức, Trường Đại học Công nghệ thông tin và Truyền thông Việt Hàn, Đại học FPT Hồ Chí Minh, Đại học Mở Thành phố Hồ Chí Minh"
6,7,17,2,1,8.4,5,1,3,2,1,2,1,3,3,1,1,2,2,2,3,"2,5,1",1,3,3,25.200000000000003,"Học viện Âm nhạc Quốc gia Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Kiến trúc Thành phố Hồ Chí Minh"
7,8,18,1,1,7.75,2,4,1,5,3,3,2,1,3,1,1,2,2,1,1,"3,2,8",8,5,1,23.25,"Trường Đại học Giao thông Vận tải, Trường Đại học Khoa học và Công nghệ Hà Nội, Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh"
8,9,16,2,2,8.5,1,3,3,3,1,1,3,2,1,2,1,2,3,3,1,"1,6,8",1,3,3,25.5,"Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Kiến trúc Thành phố Hồ Chí Minh"
9,10,16,1,3,8.57,5,5,3,2,2,3,3,3,3,2,3,2,3,3,1,"1,8,6",16,5,9,25.71,"Đại học Quốc gia Hà Nội, Trường Đại học Y Hà Nội, Đại học Thái Nguyên, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Trường Đại học Y Dược - ĐH Huế, Khoa Y Dược – ĐH Đà Nẵng, Trường Đại học Kỹ thuật Y Dược Đà Nẵng, Đại học Y Dược TP.HCM, Đại học Y Dược Cần Thơ, Đại học Y khoa Phạm Ngọc Thạch"
10,11,16,1,5,9.09,1,4,3,4,3,1,1,1,1,2,2,1,1,1,2,"3,5,1",1,3,3,27.27,Trường Đại học Mỹ thuật Việt Nam
11,12,19,1,3,8.92,1,2,1,4,2,2,2,3,2,1,3,3,2,3,2,"2,7,5",6,4,5,26.759999999999998,"Đại học Quốc gia Hà Nội, Trường Đại học Kinh tế Quốc dân, Trường Đại học Luật Hà Nội, Trường Đại học Văn hóa Hà Nội, Học viện Ngoại giao, Học viện Chính sách và Phát triển, Trường Đại học Luật Hà Nội – Phân hiệu tại Đắk Lắk, Đại học Tôn Đức Thắng"
12,13,18,1,2,8.58,4,1,4,2,3,3,3,2,2,3,3,1,3,2,3,"5,1,3",21,6,7,25.740000000000002,"Đại học Quốc gia Hà Nội, Đại học Thái Nguyên, Trường Đại học Sư phạm Hà Nội 2, Trường Đại học Tây Bắc, Trường Đại học Ngoại ngữ - ĐH Huế, Trường Đại học Sư phạm - ĐH Huế, Trường Đại học Ngoại ngữ - ĐH Đà Nẵng, Trường Đại học Đà Lạt, Trường Đại học Khánh Hòa, Trường Đại học Quy Nhơn, Trường Đại học Tây Nguyên, Trường Đại học Vinh"
13,14,17,2,4,8.82,5,2,1,2,2,2,1,3,1,2,2,1,1,3,3,"3,5,4",4,8,5,26.46,"Đại học Quốc gia Hà Nội, Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Văn hóa Hà Nội"
14,15,17,1,1,8.41,5,2,3,5,2,1,2,2,1,3,1,1,2,3,1,"8,7,3",3,1,2,25.23,"Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Giao thông Vận tải, Trường Đại học Mở Hà Nội, Trường Đại học Tài nguyên và Môi trường Hà Nội, Học viện Ngoại giao, Trường Đại học Kinh doanh và Công nghệ Hà Nội"
15,16,19,2,1,8.18,1,1,2,2,2,2,2,3,3,1,3,2,1,2,3,"7,3,6",22,4,10,24.54,
16,17,19,1,5,8.88,5,5,2,2,3,3,3,1,2,1,3,3,3,3,3,"1,1,3",1,3,3,26.64,"Trường Đại học Mỹ thuật Việt Nam, Đại học Kiến trúc Thành phố Hồ Chí Minh"
17,18,17,2,5,9.41,2,4,1,5,3,2,1,2,2,2,3,2,3,2,3,"2,7,3",2,1,4,28.23,
18,19,19,1,1,7.36,4,1,2,2,1,3,3,3,2,3,1,1,1,3,1,"3,6,1",8,5,1,22.080000000000002,Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh
19,20,19,1,1,8.55,5,1,2,3,2,3,3,3,2,2,1,2,2,1,2,"1,2,8",9,8,1,25.650000000000002,"Đại học Quốc gia Hà Nội, Học viện Ngân hàng, Trường Đại học Giao thông Vận tải, Trường Đại học Thủy Lợi, Trường Đại học Khoa học và Công nghệ Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Đại học Công nghệ Thông tin - ĐH Quốc gia TP.HCM, Đại học Sư phạm Kỹ thuật TP.HCM, Đại học Công nghiệp Thành phố Hồ Chí Minh, Đại học Khoa học Tự nhiên - ĐHQG TP Hồ Chí Minh"
20,21,18,1,1,8.63,1,5,4,4,1,1,1,2,1,1,2,1,1,3,2,"8,7,1",8,5,1,25.89,"Đại học Quốc gia Hà Nội, Đại học Kinh tế TP. HCM"
21,22,19,2,2,9.13,1,2,4,2,3,1,3,2,1,1,2,2,3,2,3,"6,5,7",4,8,5,27.39,"Đại học Quốc gia Hà Nội, Trường Đại học Kinh tế Quốc dân, Trường Đại học Văn hóa Hà Nội"
22,23,19,1,1,8.52,3,5,2,1,1,1,3,3,1,3,2,3,3,1,2,"7,6,8",1,3,3,25.56,"Trường Đại học Mỹ thuật Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội, Đại học Kiến trúc Thành phố Hồ Chí Minh"
23,24,18,2,1,8.14,4,1,3,2,1,2,2,3,3,1,1,1,3,3,1,"2,1,4",3,1,2,24.42,"Học viện Công nghệ Bưu chính Viễn thông, Trường Đại học Tài nguyên và Môi trường Hà Nội, Trường Đại học Kinh doanh và Công nghệ Hà Nội, Học viện Chính sách và Phát triển"
24,25,16,2,4,7.68,1,4,3,4,3,2,3,1,2,2,3,3,3,2,1,"1,5,6",4,8,5,23.04,"Học viện phụ nữ Việt Nam, Trường Đại học Văn hóa - Nghệ thuật Quân Đội"
