,Id,Age,Gender,Departments,Score,Average Score,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred Location,Key Factors for Future Job,Major,Habit,Field of Interest,,
0,1,19,2,2,16.46,8.23,2,3,2,1,2,1,3,3,1,3,3,1,1,2,2,"7,1,3",4,8,5,,24.69
1,2,18,1,4,15.68,7.84,4,1,1,5,2,1,3,3,3,3,2,1,3,3,2,"6,7,4",4,8,5,,
2,3,16,2,4,18.88,9.44,2,2,4,1,2,1,2,3,3,1,2,1,2,3,2,"2,8,4",15,5,12,,
3,4,17,2,1,17.96,8.98,1,1,3,4,2,3,2,1,1,3,3,2,3,1,2,"3,8,2",18,3,8,,
4,5,16,1,2,16.04,8.02,5,5,1,4,3,2,2,1,2,2,3,2,1,2,2,"5,8,4",6,4,5,,
5,6,17,2,4,14.48,7.24,5,5,2,4,1,2,3,3,3,1,2,2,2,3,2,"1,1,3",9,8,1,,
6,7,17,2,1,16.8,8.4,5,1,3,2,1,2,1,3,3,1,1,2,2,2,3,"2,5,1",1,3,3,,
7,8,18,1,1,15.5,7.75,2,4,1,5,3,3,2,1,3,1,1,2,2,1,1,"3,2,8",8,5,1,,
8,9,16,2,2,17,8.5,1,3,3,3,1,1,3,2,1,2,1,2,3,3,1,"1,6,8",1,3,3,,
9,10,16,1,3,17.14,8.57,5,5,3,2,2,3,3,3,3,2,3,2,3,3,1,"1,8,6",16,5,9,,
10,11,16,1,5,18.18,9.09,1,4,3,4,3,1,1,1,1,2,2,1,1,1,2,"3,5,1",1,3,3,,
11,12,19,1,3,17.84,8.92,1,2,1,4,2,2,2,3,2,1,3,3,2,3,2,"2,7,5",6,4,5,,
12,13,18,1,2,17.16,8.58,4,1,4,2,3,3,3,2,2,3,3,1,3,2,3,"5,1,3",21,6,7,,
13,14,17,2,4,17.64,8.82,5,2,1,2,2,2,1,3,1,2,2,1,1,3,3,"3,5,4",4,8,5,,
14,15,17,1,1,16.82,8.41,5,2,3,5,2,1,2,2,1,3,1,1,2,3,1,"8,7,3",3,1,2,,
15,16,19,2,1,16.36,8.18,1,1,2,2,2,2,2,3,3,1,3,2,1,2,3,"7,3,6",22,4,10,,
16,17,19,1,5,17.76,8.88,5,5,2,2,3,3,3,1,2,1,3,3,3,3,3,"1,1,3",1,3,3,,
17,18,17,2,5,18.82,9.41,2,4,1,5,3,2,1,2,2,2,3,2,3,2,3,"2,7,3",2,1,4,,
18,19,19,1,1,14.72,7.36,4,1,2,2,1,3,3,3,2,3,1,1,1,3,1,"3,6,1",8,5,1,,
19,20,19,1,1,17.1,8.55,5,1,2,3,2,3,3,3,2,2,1,2,2,1,2,"1,2,8",9,8,1,,
20,21,18,1,1,17.26,8.63,1,5,4,4,1,1,1,2,1,1,2,1,1,3,2,"8,7,1",8,5,1,,
21,22,19,2,2,18.26,9.13,1,2,4,2,3,1,3,2,1,1,2,2,3,2,3,"6,5,7",4,8,5,,
22,23,19,1,1,17.04,8.52,3,5,2,1,1,1,3,3,1,3,2,3,3,1,2,"7,6,8",1,3,3,,
23,24,18,2,1,16.28,8.14,4,1,3,2,1,2,2,3,3,1,1,1,3,3,1,"2,1,4",3,1,2,,
24,25,16,2,4,15.36,7.68,1,4,3,4,3,2,3,1,2,2,3,3,3,2,1,"1,5,6",4,8,5,,
25,26,16,1,3,17.36,8.68,2,4,3,4,2,1,3,2,2,1,3,2,1,3,3,"8,7,1",15,5,12,,
26,27,18,2,1,16.48,8.24,2,4,3,3,3,2,3,1,2,1,3,2,1,2,3,"7,5,8",8,5,1,,
27,28,18,2,4,15.08,7.54,2,1,5,1,1,3,1,2,3,1,3,1,2,1,2,"8,4,1",15,5,12,,
28,29,17,1,1,16.98,8.49,5,3,2,5,1,2,3,1,1,3,3,1,3,1,3,"5,4,3",3,1,2,,
29,30,17,1,1,15.88,7.94,5,3,1,4,1,3,2,2,2,1,1,3,3,1,3,"1,5,4",1,3,3,,
30,31,16,1,1,18.82,9.41,4,3,5,2,2,1,2,2,3,1,3,1,2,1,1,"2,7,6",2,1,4,,
31,32,18,1,3,17,8.5,1,4,3,3,1,3,1,2,3,3,3,1,2,1,1,"5,1,2",8,5,1,,
32,33,19,2,3,18.18,9.09,4,1,4,4,3,3,1,2,3,3,2,2,2,2,1,"7,4,2",5,8,11,,
33,34,17,2,3,18.66,9.33,5,3,5,2,1,3,1,2,3,3,2,3,2,3,1,"1,2,8",2,1,4,,
34,35,17,2,1,15,7.5,2,4,5,4,2,1,2,3,3,3,1,1,1,3,3,"4,3,7",6,4,5,,
35,36,16,2,4,18.9,9.45,5,1,1,5,1,1,1,2,1,3,2,3,3,1,2,"4,5,6",1,3,3,,
36,37,19,2,3,14.48,7.24,5,3,4,5,1,3,3,2,1,3,2,3,1,3,3,"4,7,3",9,8,1,,
37,38,17,1,2,17.54,8.77,4,2,4,1,1,3,2,1,2,2,2,3,2,1,1,"8,1,2",2,1,4,,
38,39,18,1,4,18.5,9.25,2,2,2,2,2,3,3,3,2,1,2,1,3,2,3,"3,1,5",1,3,3,,
